Company,Project,Partner ,Watershed,Category,Date,Gallons,X,Y,gal_num
Amazon,25390 SUTTON BAY PLZ CHANTILLY 20152,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-07,96633,38.9154,-77.4809,96633.0
Amazon,25390 SUTTON BAY PLZ CHANTILLY 20152,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-08,63205,38.9154,-77.4809,63205.0
Amazon,25390 SUTTON BAY PLZ CHANTILLY 20152,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-09,35588,38.9154,-77.4809,35588.0
Amazon,25390 SUTTON BAY PLZ CHANTILLY 20152,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-10,107588,38.9154,-77.4809,107588.0
Amazon,25390 SUTTON BAY PLZ CHANTILLY 20152,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-11,7159,38.9154,-77.4809,7159.0
Amazon,21310 BEAUMEADE CIR  ASHBURN 20147,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-02,274,38.91698083,-77.47772665,274.0
Amazon,21310 BEAUMEADE CIR  ASHBURN 20147,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-06,42094,38.91698083,-77.47772665,42094.0
Amazon,21310 BEAUMEADE CIR  ASHBURN 20147,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-07,9179,38.91698083,-77.47772665,9179.0
Amazon,21310 BEAUMEADE CIR  ASHBURN 20147,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-08,2707,38.91698083,-77.47772665,2707.0
Amazon,21310 BEAUMEADE CIR  ASHBURN 20147,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-09,6843,38.91698083,-77.47772665,6843.0
Amazon,21310 BEAUMEADE CIR  ASHBURN 20147,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-10,13408,38.91698083,-77.47772665,13408.0
Amazon,21310 BEAUMEADE CIR  ASHBURN 20147,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-11,2056,38.91698083,-77.47772665,2056.0
Amazon,21310 BEAUMEADE CIR  ASHBURN 20147,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-12,223,38.91698083,-77.47772665,223.0
Amazon,21310 BEAUMEADE CIR  ASHBURN 20147,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-01,136,38.91698083,-77.47772665,136.0
